LocationID,Suburb,State,Postcode,Latitude,Longitude
S-92,BATHAMPTON,nsw,2795,-33.48333359,149.3999939
S-83,BATHURST,nsw,2795,-33.41666794,149.56666565
S-37,BATLOW,nsw,2730,-35.51666641,148.1333313
S-35,BAULKHAM HILLS,nsw,1755,-33.752,150.992
S-65,BAULKHAM HILLS,nsw,2153,-33.76666641,151
S-21,BAWLEY POINT,nsw,2539,-35.5,150.3833313
S-11,BAYLDON,nsw,2452,-30.35000038,153.08332825
S-93,BAYVIEW,nsw,2104,-33.65000153,151.28334045
S-30,BEACON HILL,nsw,2100,-33.75,151.25
S-70,BEACONSFIELD,nsw,2014,-33.91666794,151.18333435
S-60,BEACONSFIELD,nsw,2015,-33.91666794,151.18333435
S-92,BEAN CREEK,nsw,2469,-28.58333397,152.58332825
S-79,BEARBONG,nsw,2827,-31.63333321,148.8833313
S-19,BEARGAMIL,nsw,2870,-33,148.28334045
S-59,BEAUMONT,nsw,2577,-34.78333282,150.56666565
S-39,BEAUMONT HILLS,nsw,2155,150.93917847,-33.70119095
S-15,BEAURY CREEK,nsw,2475,-28.45000076,152.5166626
S-60,BECKOM,nsw,2665,-34.31666565,146.96665955
S-54,BECTIVE,nsw,2340,-30.95000076,150.7333374
S-88,BECTRIC,nsw,2665,-34.5,147.2666626
S-81,BEDGEREBONG,nsw,2871,-33.33333206,147.68333435
S-42,BEECHWOOD,nsw,2446,-31.43333244,152.66667175
S-65,BEECROFT,nsw,2119,-33.75,151.05000305
S-99,BEELBANGERA,nsw,2680,-34.25,146.1000061
S-2,BEEMUNNEL,nsw,2824,-31.64999962,147.8500061
S-11,BEGA,nsw,2550,-36.68333435,149.8999939
S-48,BEILPAJAH,nsw,2878,-32.84999847,143.78334045
S-8,BELBORA,nsw,2422,-31.96666718,152.1499939
S-97,BELFIELD,nsw,2191,-33.90000153,151.08332825
S-62,BELFORD,nsw,2335,-32.65000153,151.2666626
S-17,BELFRAYDEN,nsw,2650,-35.09999847,147.06666565
S-97,BELGRAVIA,nsw,2800,-33.09999847,149.0166626
S-38,BELIMBLA PARK,nsw,2570,-34.06666565,150.53334045
S-97,BELL,nsw,2786,-33.51666641,150.28334045
S-71,BELLA VISTA,nsw,2153,-33.74166489,150.95333862
S-63,BELLAMBI,nsw,2518,-34.36666489,150.91667175
S-5,BELLANGRY,nsw,2446,-31.33333397,152.6166687
S-33,BELLATA,nsw,2397,-29.91666603,149.78334045
S-50,BELLAWONGARAH,nsw,2535,-34.76666641,150.6166687
S-51,BELLBIRD,nsw,2325,-32.84999847,151.31666565
S-5,BELLBIRD HEIGHTS,nsw,2325,-32.8429985,151.32899475
S-72,BELLBROOK,nsw,2440,-30.81666756,152.5
S-44,BELLEVUE HILL,nsw,2023,-33.88333511,151.25
S-5,BELLIMBOPINNI,nsw,2440,-31,152.8999939
S-92,BELLINGEN,nsw,2454,-30.45000076,152.8999939
S-45,BELLMOUNT FOREST,nsw,2581,-34.91666794,149.21665955
S-49,BELLS MOUNTAIN,nsw,2347,-30.28333282,150.6000061
S-10,BELLTREES,nsw,2337,-31.98333359,151.1166687
S-2,BELLWOOD,nsw,2448,-30.63333321,152.9833374
S-83,BELMONT,nsw,2280,-33.03333282,151.6499939
S-6,BELMONT NORTH,nsw,2280,-33,151.66667175
S-80,BELMONT SOUTH,nsw,2280,-33.03333282,151.6499939
S-85,BELMORE,nsw,2192,-33.91666794,151.08332825
S-82,BELMORE RIVER,nsw,2440,-31.04999924,152.96665955
S-57,BELOKA,nsw,2628,-36.51666641,148.7333374
S-36,BELOWRA,nsw,2545,-36.13333511,149.71665955
S-13,BELROSE,nsw,2085,-33.71666718,151.2333374
S-54,BEMBOKA,nsw,2550,-36.61666489,149.56666565
S-31,BEN BUCKLER,nsw,2026,-33.88333511,151.2666626
S-95,BEN BUCKLEY,nsw,2850,-32.45000076,149.28334045
S-80,BEN BULLEN,nsw,2790,-33.20000076,150.0166626
S-14,BEN LOMOND,nsw,2365,-30.01666641,151.6499939
S-31,BEN VENUE,nsw,2350,-30.48333359,151.68333435
S-15,BENANDARAH,nsw,2536,-35.65000153,150.2333374
S-80,BENANEE,nsw,2737,-34.5,142.83332825
S-54,BENARCA,nsw,2710,-33.93333435,144.71665955
S-31,BENDALONG,nsw,2539,-35.25,150.53334045
S-93,BENDEELA,nsw,2577,-34.71666718,150.46665955
S-74,BENDEMEER,nsw,2355,-30.88333321,151.1499939
S-90,BENDICK MURRELL,nsw,2803,-34.16666794,148.44999695
S-29,BENDOLBA,nsw,2420,-32.34999847,151.71665955
S-72,BENDOURA,nsw,2622,-35.5,149.68333435
S-76,BENEREMBAH,nsw,2680,-34.41500092,145.86833191
S-65,BENGALLA,nsw,2333,-28.64999962,150.66667175
S-94,BENI,nsw,2830,-32.18333435,148.75
S-76,BENNETTS GREEN,nsw,2290,-33,151.68333435
S-97,BENSVILLE,nsw,2251,-33.5,151.3833313
S-59,BENTLEY,nsw,2480,-28.78333282,153.1166687
S-4,BERALA,nsw,2141,-33.86666489,151.03334045
S-45,BERAMBING,nsw,2758,-33.51666641,150.44999695
S-9,BERESFIELD,nsw,2322,-32.79999924,151.6333313
S-12,BERGALIA,nsw,2537,-35.98166656,150.10166931
S-31,BERKELEY,nsw,2506,-34.48166656,150.85166931
S-22,BERKELEY VALE,nsw,2261,-33.33333206,151.43333435
S-17,BERKSHIRE PARK,nsw,2765,-33.68333435,150.78334045
S-17,BERLANG,nsw,2622,-35.63333511,149.6499939
S-36,BERMAGUI,nsw,2546,-36.43333435,150.06666565
S-30,BEROWRA,nsw,2081,-33.61666489,151.1333313
