Suburb,Postcode,Longitude,Latitude
BEGA,2550,149.8999939,-36.68333435
BEILPAJAH,2878,143.78334045,-32.84999847
BELBORA,2422,152.1499939,-31.96666718
BELFIELD,2191,151.08332825,-33.90000153
BELFORD,2335,151.2666626,-32.65000153
BELFRAYDEN,2650,147.06666565,-35.09999847
BELGRAVIA,2800,149.0166626,-33.09999847
BELIMBLA PARK,2570,150.53334045,-34.06666565
BELL,2786,150.28334045,-33.51666641
BELLA VISTA,2153,150.95333862,-33.74166489
BELLAMBI,2518,150.91667175,-34.36666489
BELLANGRY,2446,152.6166687,-31.33333397
BELLATA,2397,149.78334045,-29.91666603
BELLAWONGARAH,2535,150.6166687,-34.76666641
BELLBIRD,2325,151.31666565,-32.84999847
BELLBIRD HEIGHTS,2325,151.32899475,-32.8429985
BELLBROOK,2440,152.5,-30.81666756
BELLEVUE HILL,2023,151.25,-33.88333511
BELLIMBOPINNI,2440,152.8999939,-31
BELLINGEN,2454,152.8999939,-30.45000076
BELLMOUNT FOREST,2581,149.21665955,-34.91666794
BELLS MOUNTAIN,2347,150.6000061,-30.28333282
BELLTREES,2337,151.1166687,-31.98333359
BELLWOOD,2448,152.9833374,-30.63333321
BELMONT,2280,151.6499939,-33.03333282
BELMONT NORTH,2280,151.66667175,-33
BELMONT SOUTH,2280,151.6499939,-33.03333282
BELMORE,2192,151.08332825,-33.91666794
BELMORE RIVER,2440,152.96665955,-31.04999924
BELOKA,2628,148.7333374,-36.51666641
BELOWRA,2545,149.71665955,-36.13333511
BELROSE,2085,151.2333374,-33.71666718
BEMBOKA,2550,149.56666565,-36.61666489
BEN BUCKLER,2026,151.2666626,-33.88333511
BEN BUCKLEY,2850,149.28334045,-32.45000076
BEN BULLEN,2790,150.0166626,-33.20000076
BEN LOMOND,2365,151.6499939,-30.01666641
BEN VENUE,2350,151.68333435,-30.48333359
BENANDARAH,2536,150.2333374,-35.65000153
BENANEE,2737,142.83332825,-34.5
BENARCA,2710,144.71665955,-33.93333435
BENDALONG,2539,150.53334045,-35.25
BENDEELA,2577,150.46665955,-34.71666718
BENDEMEER,2355,151.1499939,-30.88333321
BENDICK MURRELL,2803,148.44999695,-34.16666794
BENDOLBA,2420,151.71665955,-32.34999847
BENDOURA,2622,149.68333435,-35.5
BENEREMBAH,2680,145.86833191,-34.41500092
BENGALLA,2333,150.66667175,-28.64999962
BENI,2830,148.75,-32.18333435
BENNETTS GREEN,2290,151.68333435,-33
BENSVILLE,2251,151.3833313,-33.5
BENTLEY,2480,153.1166687,-28.78333282
BERALA,2141,151.03334045,-33.86666489
BERAMBING,2758,150.44999695,-33.51666641
BERESFIELD,2322,151.6333313,-32.79999924
BERGALIA,2537,150.10166931,-35.98166656
BERKELEY,2506,150.85166931,-34.48166656
BERKELEY VALE,2261,151.43333435,-33.33333206
BERKSHIRE PARK,2765,150.78334045,-33.68333435
BERLANG,2622,149.6499939,-35.63333511
BERMAGUI,2546,150.06666565,-36.43333435
BEROWRA,2081,151.1333313,-33.61666489
BEROWRA HEIGHTS,2082,151.1333313,-33.59999847
BEROWRA WATERS,2082,151.1166687,-33.59999847
BERRAMBOOL,2548,149.91499329,-36.87666702
BERRARA,2540,150.56666565,-35.20000076
BERREMANGRA,2582,148.46665955,-34.78333282
BERRICO,2422,151.81666565,-32.04999924
BERRIDALE,2628,148.81666565,-36.36666489
BERRIGAN,2712,145.80000305,-35.63333511
BERRILEE,2159,151.1000061,-33.61666489
BERRIMA,2577,150.33332825,-34.48333359
BERRINGER,2539,150.5,-35.25
BERRINGER LAKE,2539,150.5,-35.23333359
BERRY,2535,150.69999695,-34.78333282
BERRY JERRY,2650,147.2666626,-34.68333435
BERRY PARK,2321,151.6499939,-32.73333359
BERTHONG,2594,148.03334045,-34.33333206
BERYL,2852,149.43333435,-32.33333206
BETHUNGRA,2590,147.8666687,-34.76666641
BEVENDALE,2581,149.06666565,-34.51666641
BEVERLEY PARK,2217,151.1166687,-33.98333359
BEVERLY HILLS,2209,151.08332825,-33.95000076
BEWONG,2540,150.53334045,-35.06666565
BEXHILL,2480,153.3500061,-28.76666641
BEXLEY,2207,151.1166687,-33.95000076
BEXLEY NORTH,2207,151.11332703,-33.93999863
BEXLEY SOUTH,2207,151.1166687,-33.95000076
BIALA,2581,149.25,-34.58333206
BIBBENLUKE,2632,149.28334045,-36.81666565
BICKLEY VALE,2570,150.6499939,-34.04999924
BIDDON,2827,148.80000305,-31.54999924
BIDWILL,2770,150.81666565,-33.73333359
BIG HILL,2579,150,-34.53333282
BIG HILL,2580,150,-34.53333282
BIG JACKS CREEK,2339,150.6000061,-31.78333282
BIG RIDGE,2330,151.21665955,-32.56666565
BIG SPRINGS,2650,147.41667175,-35.29999924
BIGGA,2583,149.1499939,-34.08333206
BILAMBIL,2486,153.46665955,-28.21666718
